"Label (Grouping)","Alameda County, California!!Owner-occupied housing units with a mortgage!!Estimate","Alameda County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Alpine County, California!!Owner-occupied housing units with a mortgage!!Estimate","Alpine County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Amador County, California!!Owner-occupied housing units with a mortgage!!Estimate","Amador County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Butte County, California!!Owner-occupied housing units with a mortgage!!Estimate","Butte County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Calaveras County, California!!Owner-occupied housing units with a mortgage!!Estimate","Calaveras County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Colusa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Colusa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Contra Costa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Contra Costa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Del Norte County, California!!Owner-occupied housing units with a mortgage!!Estimate","Del Norte County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","El Dorado County, California!!Owner-occupied housing units with a mortgage!!Estimate","El Dorado County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Fresno County, California!!Owner-occupied housing units with a mortgage!!Estimate","Fresno County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Glenn County, California!!Owner-occupied housing units with a mortgage!!Estimate","Glenn County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Humboldt County, California!!Owner-occupied housing units with a mortgage!!Estimate","Humboldt County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Imperial County, California!!Owner-occupied housing units with a mortgage!!Estimate","Imperial County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Inyo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Inyo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Kern County, California!!Owner-occupied housing units with a mortgage!!Estimate","Kern County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Kings County, California!!Owner-occupied housing units with a mortgage!!Estimate","Kings County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Lake County, California!!Owner-occupied housing units with a mortgage!!Estimate","Lake County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Lassen County, California!!Owner-occupied housing units with a mortgage!!Estimate","Lassen County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Los Angeles County, California!!Owner-occupied housing units with a mortgage!!Estimate","Los Angeles County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Madera County, California!!Owner-occupied housing units with a mortgage!!Estimate","Madera County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Marin County, California!!Owner-occupied housing units with a mortgage!!Estimate","Marin County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Mariposa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mariposa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Mendocino County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mendocino County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Merced County, California!!Owner-occupied housing units with a mortgage!!Estimate","Merced County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Modoc County, California!!Owner-occupied housing units with a mortgage!!Estimate","Modoc County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Mono County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mono County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Monterey County, California!!Owner-occupied housing units with a mortgage!!Estimate","Monterey County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Napa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Napa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Nevada County, California!!Owner-occupied housing units with a mortgage!!Estimate","Nevada County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Orange County, California!!Owner-occupied housing units with a mortgage!!Estimate","Orange County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Placer County, California!!Owner-occupied housing units with a mortgage!!Estimate","Placer County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Plumas County, California!!Owner-occupied housing units with a mortgage!!Estimate","Plumas County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Riverside County, California!!Owner-occupied housing units with a mortgage!!Estimate","Riverside County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sacramento County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sacramento County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Benito County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Benito County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Bernardino County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Bernardino County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Diego County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Diego County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Francisco County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Francisco County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Joaquin County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Joaquin County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Luis Obispo County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Luis Obispo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Mateo County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Mateo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Barbara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Barbara County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Shasta County, California!!Owner-occupied housing units with a mortgage!!Estimate","Shasta County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sierra County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sierra County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Siskiyou County, California!!Owner-occupied housing units with a mortgage!!Estimate","Siskiyou County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Solano County, California!!Owner-occupied housing units with a mortgage!!Estimate","Solano County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sonoma County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sonoma County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Stanislaus County, California!!Owner-occupied housing units with a mortgage!!Estimate","Stanislaus County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sutter County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sutter County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Tehama County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tehama County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Trinity County, California!!Owner-occupied housing units with a mortgage!!Estimate","Trinity County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Tulare County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tulare County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Tuolumne County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tuolumne County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Ventura County, California!!Owner-occupied housing units with a mortgage!!Estimate","Ventura County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Yolo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Yolo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Yuba County, California!!Owner-occupied housing units with a mortgage!!Estimate","Yuba County, California!!Percent owner-occupied housing units with a mortgage!!Estimate"
"Owner-occupied housing units with a mortgage","226,016","226,016","145","145","6,722","6,722","30,187","30,187","8,160","8,160","2,791","2,791","191,483","191,483","3,186","3,186","37,350","37,350","114,884","114,884","3,401","3,401","17,908","17,908","16,813","16,813","2,559","2,559","109,520","109,520","15,615","15,615","9,132","9,132","3,482","3,482","1,087,411","1,087,411","19,299","19,299","47,579","47,579","2,477","2,477","10,611","10,611","27,538","27,538","1,208","1,208","1,928","1,928","43,490","43,490","20,217","20,217","19,214","19,214","419,607","419,607","73,421","73,421","3,548","3,548","341,157","341,157","219,836","219,836","8,874","8,874","274,462","274,462","430,837","430,837","89,924","89,924","92,422","92,422","42,585","42,585","111,911","111,911","48,992","48,992","253,071","253,071","38,587","38,587","27,625","27,625","444","444","6,084","6,084","68,711","68,711","77,955","77,955","69,663","69,663","12,240","12,240","9,654","9,654","1,753","1,753","55,931","55,931","9,636","9,636","124,383","124,383","26,392","26,392","10,908","10,908"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","1,430","0.6%","0","0.0%","85","1.3%","367","1.2%","134","1.6%","47","1.7%","1,256","0.7%","209","6.6%","434","1.2%","1,456","1.3%","81","2.4%","245","1.4%","243","1.4%","107","4.2%","1,877","1.7%","86","0.6%","447","4.9%","108","3.1%","9,799","0.9%","300","1.6%","340","0.7%","33","1.3%","250","2.4%","463","1.7%","97","8.0%","24","1.2%","406","0.9%","165","0.8%","368","1.9%","3,229","0.8%","409","0.6%","65","1.8%","5,123","1.5%","2,733","1.2%","99","1.1%","4,432","1.6%","3,537","0.8%","840","0.9%","1,408","1.5%","358","0.8%","698","0.6%","435","0.9%","1,741","0.7%","276","0.7%","645","2.3%","0","0.0%","194","3.2%","894","1.3%","762","1.0%","945","1.4%","288","2.4%","214","2.2%","60","3.4%","1,214","2.2%","176","1.8%","878","0.7%","325","1.2%","127","1.2%"
"        $50,000 to $99,999","943","0.4%","0","0.0%","134","2.0%","872","2.9%","100","1.2%","86","3.1%","983","0.5%","202","6.3%","206","0.6%","4,126","3.6%","59","1.7%","203","1.1%","663","3.9%","174","6.8%","6,559","6.0%","792","5.1%","591","6.5%","230","6.6%","7,551","0.7%","384","2.0%","49","0.1%","110","4.4%","219","2.1%","728","2.6%","266","22.0%","163","8.5%","222","0.5%","171","0.8%","277","1.4%","3,371","0.8%","408","0.6%","92","2.6%","4,342","1.3%","2,075","0.9%","52","0.6%","6,259","2.3%","3,676","0.9%","213","0.2%","1,584","1.7%","273","0.6%","451","0.4%","494","1.0%","813","0.3%","304","0.8%","692","2.5%","24","5.4%","429","7.1%","518","0.8%","828","1.1%","910","1.3%","186","1.5%","393","4.1%","8","0.5%","3,522","6.3%","134","1.4%","760","0.6%","82","0.3%","390","3.6%"
"        $100,000 to $299,999","7,583","3.4%","37","25.5%","2,656","39.5%","14,291","47.3%","3,153","38.6%","1,556","55.8%","12,908","6.7%","1,660","52.1%","5,171","13.8%","65,212","56.8%","2,007","59.0%","7,136","39.8%","12,868","76.5%","826","32.3%","72,344","66.1%","11,327","72.5%","4,890","53.5%","2,267","65.1%","81,449","7.5%","11,701","60.6%","1,028","2.2%","1,170","47.2%","2,393","22.6%","16,374","59.5%","527","43.6%","717","37.2%","5,041","11.6%","667","3.3%","2,915","15.2%","13,499","3.2%","7,482","10.2%","2,136","60.2%","96,332","28.2%","67,979","30.9%","357","4.0%","96,904","35.3%","29,744","6.9%","1,519","1.7%","29,823","32.3%","2,911","6.8%","1,445","1.3%","6,701","13.7%","5,686","2.2%","1,634","4.2%","15,405","55.8%","258","58.1%","3,940","64.8%","10,633","15.5%","4,230","5.4%","33,354","47.9%","6,051","49.4%","6,459","66.9%","824","47.0%","37,734","67.5%","4,352","45.2%","6,564","5.3%","4,876","18.5%","6,326","58.0%"
"        $300,000 to $499,999","29,193","12.9%","50","34.5%","2,782","41.4%","9,935","32.9%","3,311","40.6%","800","28.7%","50,022","26.1%","853","26.8%","14,580","39.0%","33,632","29.3%","905","26.6%","7,390","41.3%","2,490","14.8%","1,029","40.2%","22,752","20.8%","2,587","16.6%","2,365","25.9%","717","20.6%","325,059","29.9%","5,449","28.2%","2,735","5.7%","797","32.2%","4,710","44.4%","7,432","27.0%","209","17.3%","511","26.5%","15,299","35.2%","4,055","20.1%","8,292","43.2%","68,384","16.3%","32,482","44.2%","940","26.5%","164,687","48.3%","100,677","45.8%","3,200","36.1%","113,006","41.2%","133,117","30.9%","3,335","3.7%","40,521","43.8%","12,518","29.4%","4,041","3.6%","15,071","30.8%","13,868","5.5%","5,454","14.1%","8,444","30.6%","127","28.6%","1,085","17.8%","36,217","52.7%","19,005","24.4%","27,826","39.9%","4,405","36.0%","1,922","19.9%","528","30.1%","10,052","18.0%","3,510","36.4%","33,601","27.0%","11,078","42.0%","3,257","29.9%"
"        $500,000 to $749,999","65,333","28.9%","58","40.0%","585","8.7%","3,109","10.3%","1,124","13.8%","176","6.3%","53,819","28.1%","180","5.6%","12,255","32.8%","7,329","6.4%","221","6.5%","2,224","12.4%","313","1.9%","339","13.2%","4,019","3.7%","666","4.3%","566","6.2%","94","2.7%","339,433","31.2%","839","4.3%","6,824","14.3%","235","9.5%","1,811","17.1%","1,623","5.9%","52","4.3%","350","18.2%","11,717","26.9%","8,161","40.4%","4,836","25.2%","156,205","37.2%","22,826","31.1%","146","4.1%","54,065","15.8%","34,950","15.9%","3,495","39.4%","40,221","14.7%","146,487","34.0%","12,184","13.5%","14,858","16.1%","15,977","37.5%","15,109","13.5%","7,174","14.6%","48,733","19.3%","10,399","26.9%","1,764","6.4%","25","5.6%","240","3.9%","16,566","24.1%","30,002","38.5%","4,349","6.2%","804","6.6%","391","4.1%","235","13.4%","2,194","3.9%","1,031","10.7%","50,093","40.3%","6,185","23.4%","528","4.8%"
"        $750,000 to $999,999","59,522","26.3%","0","0.0%","300","4.5%","1,029","3.4%","191","2.3%","96","3.4%","30,264","15.8%","51","1.6%","3,432","9.2%","1,818","1.6%","48","1.4%","446","2.5%","204","1.2%","42","1.6%","1,166","1.1%","86","0.6%","90","1.0%","10","0.3%","142,685","13.1%","350","1.8%","12,361","26.0%","90","3.6%","681","6.4%","490","1.8%","0","0.0%","71","3.7%","5,362","12.3%","3,514","17.4%","1,862","9.7%","99,762","23.8%","6,195","8.4%","90","2.5%","9,454","2.8%","7,545","3.4%","1,173","13.2%","9,734","3.5%","62,227","14.4%","18,610","20.7%","2,981","3.2%","6,215","14.6%","25,710","23.0%","8,382","17.1%","58,621","23.2%","10,838","28.1%","420","1.5%","0","0.0%","154","2.5%","2,657","3.9%","12,830","16.5%","1,319","1.9%","292","2.4%","110","1.1%","39","2.2%","645","1.2%","196","2.0%","19,942","16.0%","2,499","9.5%","199","1.8%"
"        $1,000,000 or more","62,012","27.4%","0","0.0%","180","2.7%","584","1.9%","147","1.8%","30","1.1%","42,231","22.1%","31","1.0%","1,272","3.4%","1,311","1.1%","80","2.4%","264","1.5%","32","0.2%","42","1.6%","803","0.7%","71","0.5%","183","2.0%","56","1.6%","181,435","16.7%","276","1.4%","24,242","51.0%","42","1.7%","547","5.2%","428","1.6%","57","4.7%","92","4.8%","5,443","12.5%","3,484","17.2%","664","3.5%","75,157","17.9%","3,619","4.9%","79","2.2%","7,154","2.1%","3,877","1.8%","498","5.6%","3,906","1.4%","52,049","12.1%","53,223","59.2%","1,247","1.3%","4,333","10.2%","64,457","57.6%","10,735","21.9%","123,609","48.8%","9,682","25.1%","255","0.9%","10","2.3%","42","0.7%","1,226","1.8%","10,298","13.2%","960","1.4%","214","1.7%","165","1.7%","59","3.4%","570","1.0%","237","2.5%","12,545","10.1%","1,347","5.1%","81","0.7%"
"        Median (dollars)","785,800","785,800","391,000","391,000","324,500","324,500","294,100","294,100","333,200","333,200","266,300","266,300","642,000","642,000","245,900","245,900","476,300","476,300","262,900","262,900","259,200","259,200","326,000","326,000","212,900","212,900","329,000","329,000","226,100","226,100","218,800","218,800","240,200","240,200","213,000","213,000","588,300","588,300","257,300","257,300","1,014,300","1,014,300","291,700","291,700","383,500","383,500","259,000","259,000","166,600","166,600","314,600","314,600","516,600","516,600","654,700","654,700","445,300","445,300","694,200","694,200","477,100","477,100","254,500","254,500","367,600","367,600","359,600","359,600","552,100","552,100","345,600","345,600","577,400","577,400","1,118,200","1,118,200","358,000","358,000","581,900","581,900","1,114,700","1,114,700","562,600","562,600","987,500","987,500","778,300","778,300","264,500","264,500","256,500","256,500","205,800","205,800","419,700","419,700","617,900","617,900","298,600","298,600","290,000","290,000","227,600","227,600","297,700","297,700","212,300","212,300","306,300","306,300","601,800","601,800","432,100","432,100","269,200","269,200"
