"Label (Grouping)","Alameda County, California!!Owner-occupied housing units with a mortgage!!Estimate","Alameda County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Alpine County, California!!Owner-occupied housing units with a mortgage!!Estimate","Alpine County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Amador County, California!!Owner-occupied housing units with a mortgage!!Estimate","Amador County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Butte County, California!!Owner-occupied housing units with a mortgage!!Estimate","Butte County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Calaveras County, California!!Owner-occupied housing units with a mortgage!!Estimate","Calaveras County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Colusa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Colusa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Contra Costa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Contra Costa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Del Norte County, California!!Owner-occupied housing units with a mortgage!!Estimate","Del Norte County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","El Dorado County, California!!Owner-occupied housing units with a mortgage!!Estimate","El Dorado County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Fresno County, California!!Owner-occupied housing units with a mortgage!!Estimate","Fresno County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Glenn County, California!!Owner-occupied housing units with a mortgage!!Estimate","Glenn County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Humboldt County, California!!Owner-occupied housing units with a mortgage!!Estimate","Humboldt County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Imperial County, California!!Owner-occupied housing units with a mortgage!!Estimate","Imperial County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Inyo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Inyo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Kern County, California!!Owner-occupied housing units with a mortgage!!Estimate","Kern County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Kings County, California!!Owner-occupied housing units with a mortgage!!Estimate","Kings County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Lake County, California!!Owner-occupied housing units with a mortgage!!Estimate","Lake County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Lassen County, California!!Owner-occupied housing units with a mortgage!!Estimate","Lassen County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Los Angeles County, California!!Owner-occupied housing units with a mortgage!!Estimate","Los Angeles County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Madera County, California!!Owner-occupied housing units with a mortgage!!Estimate","Madera County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Marin County, California!!Owner-occupied housing units with a mortgage!!Estimate","Marin County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Mariposa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mariposa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Mendocino County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mendocino County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Merced County, California!!Owner-occupied housing units with a mortgage!!Estimate","Merced County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Modoc County, California!!Owner-occupied housing units with a mortgage!!Estimate","Modoc County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Mono County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mono County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Monterey County, California!!Owner-occupied housing units with a mortgage!!Estimate","Monterey County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Napa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Napa County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Nevada County, California!!Owner-occupied housing units with a mortgage!!Estimate","Nevada County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Orange County, California!!Owner-occupied housing units with a mortgage!!Estimate","Orange County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Placer County, California!!Owner-occupied housing units with a mortgage!!Estimate","Placer County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Plumas County, California!!Owner-occupied housing units with a mortgage!!Estimate","Plumas County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Riverside County, California!!Owner-occupied housing units with a mortgage!!Estimate","Riverside County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sacramento County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sacramento County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Benito County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Benito County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Bernardino County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Bernardino County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Diego County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Diego County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Francisco County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Francisco County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Joaquin County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Joaquin County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Luis Obispo County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Luis Obispo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","San Mateo County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Mateo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Barbara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Barbara County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Shasta County, California!!Owner-occupied housing units with a mortgage!!Estimate","Shasta County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sierra County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sierra County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Siskiyou County, California!!Owner-occupied housing units with a mortgage!!Estimate","Siskiyou County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Solano County, California!!Owner-occupied housing units with a mortgage!!Estimate","Solano County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sonoma County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sonoma County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Stanislaus County, California!!Owner-occupied housing units with a mortgage!!Estimate","Stanislaus County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sutter County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sutter County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Tehama County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tehama County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Trinity County, California!!Owner-occupied housing units with a mortgage!!Estimate","Trinity County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Tulare County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tulare County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Tuolumne County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tuolumne County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Ventura County, California!!Owner-occupied housing units with a mortgage!!Estimate","Ventura County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Yolo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Yolo County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Yuba County, California!!Owner-occupied housing units with a mortgage!!Estimate","Yuba County, California!!Percent owner-occupied housing units with a mortgage!!Estimate"
"Owner-occupied housing units with a mortgage","224,843","224,843","141","141","6,255","6,255","30,553","30,553","8,341","8,341","2,790","2,790","190,637","190,637","3,122","3,122","37,678","37,678","112,334","112,334","3,419","3,419","17,714","17,714","16,986","16,986","2,430","2,430","108,795","108,795","15,331","15,331","8,681","8,681","3,526","3,526","1,094,056","1,094,056","18,914","18,914","48,113","48,113","2,594","2,594","10,919","10,919","27,707","27,707","1,310","1,310","1,824","1,824","43,311","43,311","20,605","20,605","19,198","19,198","422,707","422,707","72,463","72,463","3,480","3,480","336,248","336,248","217,028","217,028","8,604","8,604","271,986","271,986","429,792","429,792","89,626","89,626","90,636","90,636","42,924","42,924","111,594","111,594","50,193","50,193","255,816","255,816","38,438","38,438","27,341","27,341","504","504","6,256","6,256","68,472","68,472","77,494","77,494","69,104","69,104","12,105","12,105","9,944","9,944","1,723","1,723","54,356","54,356","9,328","9,328","125,729","125,729","26,300","26,300","10,381","10,381"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","1,967","0.9%","3","2.1%","95","1.5%","567","1.9%","120","1.4%","71","2.5%","1,885","1.0%","295","9.4%","664","1.8%","2,176","1.9%","82","2.4%","360","2.0%","322","1.9%","108","4.4%","2,371","2.2%","192","1.3%","415","4.8%","127","3.6%","13,511","1.2%","295","1.6%","521","1.1%","25","1.0%","414","3.8%","528","1.9%","131","10.0%","29","1.6%","524","1.2%","242","1.2%","352","1.8%","4,774","1.1%","857","1.2%","80","2.3%","6,736","2.0%","3,684","1.7%","123","1.4%","5,589","2.1%","4,819","1.1%","876","1.0%","2,069","2.3%","609","1.4%","950","0.9%","580","1.2%","2,273","0.9%","371","1.0%","841","3.1%","0","0.0%","170","2.7%","1,096","1.6%","1,104","1.4%","1,193","1.7%","351","2.9%","330","3.3%","35","2.0%","1,227","2.3%","200","2.1%","1,135","0.9%","409","1.6%","169","1.6%"
"        $50,000 to $99,999","1,178","0.5%","0","0.0%","198","3.2%","1,133","3.7%","138","1.7%","131","4.7%","1,132","0.6%","224","7.2%","308","0.8%","5,625","5.0%","59","1.7%","200","1.1%","948","5.6%","158","6.5%","7,982","7.3%","912","5.9%","744","8.6%","321","9.1%","8,372","0.8%","526","2.8%","147","0.3%","115","4.4%","293","2.7%","1,319","4.8%","346","26.4%","96","5.3%","274","0.6%","186","0.9%","311","1.6%","3,346","0.8%","390","0.5%","107","3.1%","5,772","1.7%","2,702","1.2%","29","0.3%","7,757","2.9%","3,829","0.9%","263","0.3%","2,231","2.5%","299","0.7%","524","0.5%","499","1.0%","1,171","0.5%","310","0.8%","731","2.7%","43","8.5%","494","7.9%","763","1.1%","818","1.1%","1,178","1.7%","260","2.1%","621","6.2%","47","2.7%","4,295","7.9%","182","2.0%","932","0.7%","74","0.3%","675","6.5%"
"        $100,000 to $299,999","10,025","4.5%","43","30.5%","2,791","44.6%","15,900","52.0%","3,750","45.0%","1,653","59.2%","18,937","9.9%","1,691","54.2%","6,436","17.1%","66,403","59.1%","2,116","61.9%","7,754","43.8%","13,226","77.9%","857","35.3%","72,026","66.2%","11,493","75.0%","4,913","56.6%","2,307","65.4%","107,344","9.8%","12,022","63.6%","1,323","2.7%","1,331","51.3%","2,681","24.6%","17,228","62.2%","557","42.5%","693","38.0%","6,882","15.9%","1,136","5.5%","3,666","19.1%","17,295","4.1%","10,116","14.0%","2,115","60.8%","112,181","33.4%","79,876","36.8%","562","6.5%","107,580","39.6%","37,362","8.7%","1,740","1.9%","34,721","38.3%","3,695","8.6%","1,670","1.5%","8,314","16.6%","6,403","2.5%","1,969","5.1%","16,114","58.9%","275","54.6%","4,357","69.6%","15,537","22.7%","5,232","6.8%","37,548","54.3%","6,644","54.9%","6,468","65.0%","819","47.5%","37,415","68.8%","4,621","49.5%","8,342","6.6%","6,091","23.2%","6,303","60.7%"
"        $300,000 to $499,999","37,509","16.7%","48","34.0%","2,370","37.9%","9,361","30.6%","2,998","35.9%","589","21.1%","53,568","28.1%","691","22.1%","14,619","38.8%","28,738","25.6%","877","25.7%","6,952","39.2%","1,992","11.7%","946","38.9%","21,136","19.4%","2,067","13.5%","1,806","20.8%","641","18.2%","357,471","32.7%","4,693","24.8%","3,221","6.7%","817","31.5%","4,600","42.1%","6,370","23.0%","186","14.2%","501","27.5%","15,817","36.5%","4,824","23.4%","8,387","43.7%","81,008","19.2%","33,855","46.7%","804","23.1%","151,698","45.1%","91,343","42.1%","3,683","42.8%","104,642","38.5%","146,197","34.0%","4,002","4.5%","36,271","40.0%","14,078","32.8%","5,526","5.0%","14,261","28.4%","19,696","7.7%","6,479","16.9%","7,498","27.4%","123","24.4%","867","13.9%","34,164","49.9%","23,015","29.7%","23,459","33.9%","3,562","29.4%","1,829","18.4%","488","28.3%","8,444","15.5%","3,086","33.1%","38,522","30.6%","11,024","41.9%","2,656","25.6%"
"        $500,000 to $749,999","69,289","30.8%","41","29.1%","564","9.0%","2,330","7.6%","905","10.9%","159","5.7%","48,528","25.5%","140","4.5%","11,491","30.5%","6,535","5.8%","192","5.6%","1,856","10.5%","311","1.8%","305","12.6%","3,564","3.3%","548","3.6%","536","6.2%","87","2.5%","312,645","28.6%","715","3.8%","7,897","16.4%","137","5.3%","1,775","16.3%","1,492","5.4%","30","2.3%","337","18.5%","9,759","22.5%","8,059","39.1%","4,189","21.8%","155,319","36.7%","19,186","26.5%","175","5.0%","45,037","13.4%","29,617","13.6%","2,963","34.4%","34,827","12.8%","135,451","31.5%","15,350","17.1%","11,907","13.1%","14,614","34.0%","19,648","17.6%","7,664","15.3%","58,749","23.0%","11,103","28.9%","1,479","5.4%","56","11.1%","208","3.3%","13,610","19.9%","27,373","35.3%","3,651","5.3%","823","6.8%","438","4.4%","231","13.4%","1,982","3.6%","840","9.0%","47,065","37.4%","5,493","20.9%","371","3.6%"
"        $750,000 to $999,999","54,172","24.1%","6","4.3%","127","2.0%","795","2.6%","268","3.2%","103","3.7%","28,928","15.2%","54","1.7%","2,893","7.7%","1,564","1.4%","32","0.9%","354","2.0%","148","0.9%","17","0.7%","907","0.8%","74","0.5%","112","1.3%","12","0.3%","130,362","11.9%","412","2.2%","12,136","25.2%","125","4.8%","638","5.8%","438","1.6%","0","0.0%","128","7.0%","4,812","11.1%","3,076","14.9%","1,702","8.9%","92,389","21.9%","4,949","6.8%","118","3.4%","8,448","2.5%","6,504","3.0%","960","11.2%","7,992","2.9%","56,373","13.1%","20,706","23.1%","2,366","2.6%","5,727","13.3%","26,492","23.7%","8,489","16.9%","59,104","23.1%","10,346","26.9%","444","1.6%","0","0.0%","123","2.0%","2,248","3.3%","11,139","14.4%","1,158","1.7%","254","2.1%","98","1.0%","53","3.1%","518","1.0%","192","2.1%","18,305","14.6%","2,155","8.2%","160","1.5%"
"        $1,000,000 or more","50,703","22.6%","0","0.0%","110","1.8%","467","1.5%","162","1.9%","84","3.0%","37,659","19.8%","27","0.9%","1,267","3.4%","1,293","1.2%","61","1.8%","238","1.3%","39","0.2%","39","1.6%","809","0.7%","45","0.3%","155","1.8%","31","0.9%","164,351","15.0%","251","1.3%","22,868","47.5%","44","1.7%","518","4.7%","332","1.2%","60","4.6%","40","2.2%","5,243","12.1%","3,082","15.0%","591","3.1%","68,576","16.2%","3,110","4.3%","81","2.3%","6,376","1.9%","3,302","1.5%","284","3.3%","3,599","1.3%","45,761","10.6%","46,689","52.1%","1,071","1.2%","3,902","9.1%","56,784","50.9%","10,386","20.7%","108,420","42.4%","7,860","20.4%","234","0.9%","7","1.4%","37","0.6%","1,054","1.5%","8,813","11.4%","917","1.3%","211","1.7%","160","1.6%","50","2.9%","475","0.9%","207","2.2%","11,428","9.1%","1,054","4.0%","47","0.5%"
"        Median (dollars)","722,800","722,800","368,100","368,100","302,600","302,600","270,100","270,100","308,800","308,800","247,800","247,800","602,000","602,000","223,800","223,800","453,400","453,400","245,600","245,600","240,800","240,800","311,100","311,100","192,900","192,900","316,700","316,700","217,400","217,400","207,300","207,300","218,000","218,000","191,700","191,700","548,200","548,200","241,500","241,500","975,500","975,500","281,600","281,600","367,600","367,600","234,800","234,800","151,400","151,400","327,600","327,600","476,500","476,500","621,400","621,400","421,900","421,900","668,900","668,900","447,300","447,300","246,000","246,000","347,600","347,600","338,600","338,600","496,000","496,000","324,100","324,100","541,900","541,900","1,029,300","1,029,300","329,400","329,400","547,600","547,600","1,014,500","1,014,500","547,100","547,100","917,600","917,600","727,200","727,200","250,000","250,000","223,100","223,100","191,800","191,800","388,300","388,300","578,300","578,300","279,800","279,800","268,800","268,800","214,700","214,700","293,300","293,300","196,800","196,800","289,000","289,000","574,000","574,000","402,800","402,800","252,900","252,900"
