,County,2016,2017,2018,2019,2020,Latitude,Longitude,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020,2016 Crime per Capita (%),2017 Crime per Capita (%),2018 Crime per Capita (%),2019 Crime per Capita (%),2020 Crime per Capita (%)
39,San Luis Obispo County,7861.0,6677.0,6359.0,5793.0,5478.0,35.3852242,-120.4475445,281884.0,282473.0,283250.0,282728.0,282249.0,2.7887357920279263,2.3637657404424495,2.2450132391879962,2.0489657904416965,1.940839471530457
40,San Mateo County,16605.0,17162.0,16308.0,18179.0,17461.0,37.4146725,-122.3715457,767928.0,768658.0,768410.0,764810.0,758308.0,2.1623120917586025,2.232722485162452,2.122304498900327,2.3769302179626313,2.3026263734524757
41,Santa Barbara County,11355.0,10328.0,9185.0,8890.0,10736.0,34.5370572,-120.0399729,444112.0,444998.0,445137.0,445464.0,444766.0,2.5567874770328203,2.3209093074575615,2.0634096918476783,1.9956719285958011,2.413853576937086
42,Santa Clara County,48468.0,51215.0,51769.0,54220.0,50220.0,37.2206954,-121.6905097,1928144.0,1932251.0,1931985.0,1922411.0,1907105.0,2.513712668763329,2.6505355670665978,2.679575669583356,2.820416653878905,2.63331069867679
43,Santa Cruz County,10624.0,10072.0,8603.0,8165.0,7200.0,37.0124883,-122.007205,274476.0,274865.0,273713.0,272870.0,269925.0,3.870648071233915,3.6643443144816548,3.1430732190286905,2.992267380071096,2.667407613225896
44,Shasta County,6931.0,6931.0,6347.0,3050.0,4421.0,40.7605142,-122.0435556,178592.0,179403.0,179666.0,179645.0,179027.0,3.8809129188317506,3.863369062947665,3.5326661694477535,1.697792869269949,2.4694599138677407
45,Sierra County,41.0,33.0,27.0,32.0,21.0,39.5769252,-120.5219926,2956.0,3008.0,2961.0,2959.0,2920.0,1.3870094722598105,1.0970744680851063,0.911854103343465,1.0814464346062858,0.7191780821917808
46,Siskiyou County,1042.0,980.0,836.0,818.0,893.0,41.5879861,-122.5332868,43402.0,43647.0,43624.0,43663.0,43245.0,2.400811022533524,2.2452860448598986,1.9163763066202089,1.8734397544832009,2.064978610243959
47,Solano County,13862.0,14256.0,14111.0,15381.0,13216.0,38.2672255,-121.939594,438834.0,443554.0,445931.0,447434.0,446935.0,3.1588254328516023,3.214039327793234,3.164390903525433,3.437601970346465,2.957029545683377
48,Sonoma County,9716.0,9675.0,9204.0,8848.0,8698.0,38.5251824,-122.9261095,502445.0,502203.0,497221.0,492318.0,489819.0,1.9337439918797081,1.926511789057413,1.8510883490439864,1.7972123708659848,1.7757579840716673
49,Stanislaus County,21395.0,20216.0,18610.0,17351.0,13870.0,37.5623162,-121.0028311,538986.0,544494.0,547855.0,549761.0,550081.0,3.9694908587607096,3.712804916123961,3.3968842120634104,3.1560987410893095,2.521446841465166
50,Sutter County,3060.0,3206.0,2835.0,2773.0,2750.0,39.0361898,-121.7039397,95769.0,96161.0,96348.0,96910.0,96385.0,3.195188422140776,3.3339919509988456,2.942458587619878,2.86141781033949,2.8531410489184004
51,Tehama County,2310.0,2109.0,1904.0,1901.0,1676.0,40.1261573,-122.2322737,63468.0,63827.0,63904.0,65186.0,64494.0,3.6396294195500096,3.3042442853337928,2.9794692038057087,2.916270364802258,2.598691351133439
52,Trinity County,365.0,332.0,342.0,300.0,284.0,40.6478033,-123.114476,12827.0,12727.0,12598.0,12337.0,12216.0,2.8455601465658376,2.6086273277284513,2.714716621685982,2.4317094917727164,2.3248199083169614
53,Tulare County,13199.0,13439.0,13383.0,12404.0,11203.0,36.2288339,-118.7810551,458991.0,462072.0,464279.0,465751.0,468680.0,2.8756555139425393,2.9084211984279507,2.882533993568522,2.663225629145187,2.3903302893232055
54,Tuolumne County,1471.0,1343.0,1190.0,1279.0,1229.0,38.0214344,-119.9647335,53729.0,53953.0,54250.0,54290.0,54515.0,2.7378138435481767,2.4892035660667617,2.193548387096774,2.355866642107202,2.254425387508025
55,Ventura County,18720.0,18334.0,16810.0,14555.0,14884.0,34.3587415,-119.1331432,846921.0,848264.0,847222.0,844203.0,841387.0,2.2103596439337316,2.161355427084021,1.9841316679689622,1.7241113807934823,1.7689838326477592
56,Yolo County,6059.0,6297.0,6518.0,7369.0,7124.0,38.6795955,-121.9024413,215569.0,218470.0,220082.0,220019.0,219728.0,2.8107009820521505,2.8823179383897104,2.9616233949164403,3.3492562006008573,3.2421903444258353
57,Yuba County,2289.0,2428.0,2230.0,2190.0,2286.0,39.27013,-121.3442587,74920.0,76575.0,77418.0,78549.0,80160.0,3.0552589428723973,3.1707476330395035,2.8804670748404764,2.7880685941259595,2.851796407185629
